"id","article_id","lieu_id"
"0cdfbfce-5639-4949-b3e3-3fa89f349466","1682-08_176","f62fcbc5-665b-4de4-a7f9-c7b16fae1183"
"0cecd710-e8a0-40c3-994a-1ff74e4af328","1678-08_192","52129233-1ee4-4fdc-aae2-a6c580d0bbfb"
"0d080975-3fc3-48be-bef2-aa284ddf16b0","1708-12_117","55ecf974-f54a-459c-90c7-6e2fe2902892"
"0d223c20-2044-4e8d-9c35-c24147e13878","1704-02_233","515f3e9c-aafd-4122-8ffa-91f9340ac8b9"
"0d24bd13-3806-4913-a23d-3dc75c302e66","1704-07b_346","57ecc33a-6569-4d00-9602-462fb2e5f938"
"0d341aaf-d996-45c3-b7ab-f051f5311303","1682-08_131","c818c884-7da8-4aee-a652-9e80f7b40305"
"0d5437a0-5fdf-479f-90e0-425108ffc749","1682-08_248","486b6f20-e97b-439b-a736-d0fa7ee36ba2"
"0d62ea54-4b13-499f-8703-8e872b275778","1679-03_001","10bbee56-597d-4ed2-a122-010f70edb831"
"0da3cfec-29dc-4fa3-a527-91dd4496735f","1682-08_151","916848b0-e84b-436a-a20e-321311a4facd"
"0daffe39-85d3-4df1-ad71-ce87cdc3b23b","1686-01_116","82440a33-9025-4f3a-964e-13dccb497edc"
"0db65870-9099-410f-b1c7-833695e7486d","1703-10-11_167","1cf867e5-8482-4d3a-bea0-37fa05a6786e"
"0db6baba-3614-48f2-84d4-71769ab63287","1689-10_077","cfa4f2bd-5347-405e-8ca1-fca91e7b1251"
"0dc81d14-8e92-4670-8ff6-3eb326a2137f","1710-03_207","8698c9a5-b75c-449d-9e93-7157b4830cb3"
"0dc86a72-8782-44ca-b8f4-770f2fd31f88","1704-02_26","d822ce77-6fee-48c1-b6a4-e4675b04890b"
"0dcb4088-748d-47e3-ab70-9fe045f54845","1683-01_044","c31fcdb9-82e5-42db-852c-ccb3569751b7"
"0ddb2eb1-c553-420d-9dca-54047a8c7846","1687-02_155","88419341-ff92-4b1e-80db-6831dfc7e169"
"0de998d8-e62f-458a-a2f9-0f48ca039acf","1682-10a_209","a83b1eab-f198-4391-8d21-789fe40d1544"
"0deda01e-9117-4c20-bcb2-02d1bad6fe8d","1679-05_268","4aa639a5-2679-4cf6-abd6-ecefbd57fe9a"
