"id","status","sort","user_created","date_created","user_updated","date_updated","article_id","mot_clef_id"
"03f9f797-bd91-4f60-b7f3-6ca2ceed699e","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T11:04:30.809Z",,,"1707-06_192","ba9bf4a4-8037-4326-a496-668b014c634e"
"03fb8764-cc15-41a4-acfa-b912ddda9232","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T11:01:21.950Z",,,"1707-10a_220","9e2ffcd7-19dc-4982-aa3d-856863c57d24"
"04090520-e59c-4bd1-a3fa-a2a958c83181","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T11:02:25.449Z",,,"1702-03_153","0cc9fcd6-ca68-4684-94c8-2dad5f1ef2f5"
"041360dc-3853-4540-aa0d-d7b5e6461915","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T13:45:51.208Z",,,"1702-06a_306","1b10f834-8614-4c37-848c-b5db96ddd9f0"
"041453a5-ebd5-47c0-8654-a7ed0c7791ca","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T13:45:50.579Z",,,"1702-06a_306","16311ace-c6bf-48c2-8eb5-9ce259df92b0"
"0415fbe6-32d7-4f7a-bbc7-48350a9eabe3","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T13:43:49.072Z",,,"1701-06_065","9b009b8c-e454-42ba-8111-1f21fe8ab5e0"
"0418825b-4cfc-4259-8eba-fa8797a6a301","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T13:44:11.159Z",,,"1702-03_19","f56eea45-f89b-4cb5-a75f-0d44482bd69e"
"04212030-c559-4151-8916-0c098e7e0630","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T11:02:07.997Z",,,"1701-06_103","9b009b8c-e454-42ba-8111-1f21fe8ab5e0"
"0421eed4-ed2c-4d98-b200-e81c55303fa5","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T13:46:17.031Z",,,"1704-10_106","f168bec6-7003-4643-abbb-1bcdcbee2c4b"
"043a7fc9-45b7-4a6d-8e47-a96fcbdfdf08","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T13:45:24.286Z",,,"1701-05b_087","b334129a-3ecc-464d-a5a9-cf3ffd34a39f"
"043e61da-389b-4527-b4aa-b81c7651cdee","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T13:44:26.657Z",,,"1705-12_126","a5bba06b-faac-480d-ad73-56123f116b9f"
"043f0a0b-e3f1-4d1a-b4ef-0cb2fafd74d2","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T13:44:56.917Z",,,"1710-05_225","61acddf1-c372-4271-9f56-c5988cf9f48e"
